dt,dr,dh
4.43E-05,-0.00081795,-0.00079102
4.44E-05,-0.00081778,-0.0007913
4.45E-05,-0.00081761,-0.00079157
4.46E-05,-0.00081745,-0.00079182
4.47E-05,-0.00081728,-0.00079207
4.48E-05,-0.00081711,-0.0007923
4.49E-05,-0.00081694,-0.00079252
4.50E-05,-0.00081677,-0.00079274
4.51E-05,-0.0008166,-0.00079294
4.52E-05,-0.00081644,-0.00079313
4.53E-05,-0.00081627,-0.00079332
4.54E-05,-0.0008161,-0.00079349
4.55E-05,-0.00081593,-0.00079366
4.56E-05,-0.00081576,-0.00079381
4.57E-05,-0.00081559,-0.00079396
4.58E-05,-0.00081543,-0.0007941
4.59E-05,-0.00081526,-0.00079424
4.60E-05,-0.00081509,-0.00079436
4.61E-05,-0.00081492,-0.00079448
4.62E-05,-0.00081475,-0.00079459
4.63E-05,-0.00081459,-0.00079469
4.64E-05,-0.00081442,-0.00079479
4.65E-05,-0.00081425,-0.00079488
4.66E-05,-0.00081408,-0.00079496
4.67E-05,-0.00081391,-0.00079504
4.68E-05,-0.00081375,-0.00079511
4.69E-05,-0.00081358,-0.00079517
4.70E-05,-0.00081341,-0.00079523
4.71E-05,-0.00081324,-0.00079528
4.72E-05,-0.00081308,-0.00079533
4.73E-05,-0.00081291,-0.00079537
4.74E-05,-0.00081274,-0.00079541
4.75E-05,-0.00081257,-0.00079544
4.76E-05,-0.0008124,-0.00079547
4.77E-05,-0.00081224,-0.00079549
4.78E-05,-0.00081207,-0.00079551
4.79E-05,-0.0008119,-0.00079552
4.80E-05,-0.00081174,-0.00079553
4.81E-05,-0.00081157,-0.00079554
4.82E-05,-0.0008114,-0.00079554
4.83E-05,-0.00081123,-0.00079553
4.84E-05,-0.00081107,-0.00079552
4.85E-05,-0.0008109,-0.00079551
4.86E-05,-0.00081073,-0.0007955
4.87E-05,-0.00081056,-0.00079548
4.88E-05,-0.0008104,-0.00079546
4.89E-05,-0.00081023,-0.00079543
4.90E-05,-0.00081006,-0.0007954
4.91E-05,-0.0008099,-0.00079537
4.92E-05,-0.00080973,-0.00079533
4.93E-05,-0.00080956,-0.00079529
4.94E-05,-0.0008094,-0.00079525
4.95E-05,-0.00080923,-0.00079521
4.96E-05,-0.00080906,-0.00079516
4.97E-05,-0.00080889,-0.00079511
4.98E-05,-0.00080873,-0.00079506
4.99E-05,-0.00080856,-0.000795
5.00E-05,-0.00080839,-0.00079494
5.01E-05,-0.00080823,-0.00079488
5.02E-05,-0.00080806,-0.00079482
5.03E-05,-0.00080789,-0.00079475
5.04E-05,-0.00080773,-0.00079468
5.05E-05,-0.00080756,-0.00079461
5.06E-05,-0.0008074,-0.00079454
5.07E-05,-0.00080723,-0.00079447
5.08E-05,-0.00080706,-0.00079439
5.09E-05,-0.0008069,-0.00079431
5.10E-05,-0.00080673,-0.00079423
5.11E-05,-0.00080656,-0.00079415
5.12E-05,-0.0008064,-0.00079406
5.13E-05,-0.00080623,-0.00079398
5.14E-05,-0.00080606,-0.00079389
5.15E-05,-0.0008059,-0.0007938
5.16E-05,-0.00080573,-0.00079371
5.17E-05,-0.00080557,-0.00079362
5.18E-05,-0.0008054,-0.00079352
5.19E-05,-0.00080523,-0.00079342
5.20E-05,-0.00080507,-0.00079333
5.21E-05,-0.0008049,-0.00079323
5.22E-05,-0.00080474,-0.00079313
5.23E-05,-0.00080457,-0.00079302
5.24E-05,-0.0008044,-0.00079292
5.25E-05,-0.00080424,-0.00079282
5.26E-05,-0.00080407,-0.00079271
5.27E-05,-0.00080391,-0.0007926
5.28E-05,-0.00080374,-0.00079249
5.29E-05,-0.00080358,-0.00079238
5.30E-05,-0.00080341,-0.00079227
5.31E-05,-0.00080324,-0.00079216
5.32E-05,-0.00080308,-0.00079205
5.33E-05,-0.00080291,-0.00079193
5.34E-05,-0.00080275,-0.00079182
5.35E-05,-0.00080258,-0.0007917
5.36E-05,-0.00080242,-0.00079158
5.37E-05,-0.00080225,-0.00079146
5.38E-05,-0.00080209,-0.00079134
5.39E-05,-0.00080192,-0.00079122
5.40E-05,-0.00080175,-0.0007911
5.41E-05,-0.00080159,-0.00079098
5.42E-05,-0.00080142,-0.00079086
5.43E-05,-0.00080126,-0.00079073
5.44E-05,-0.00080109,-0.00079061
5.45E-05,-0.00080093,-0.00079048
5.46E-05,-0.00080076,-0.00079036
5.47E-05,-0.0008006,-0.00079023
5.48E-05,-0.00080043,-0.0007901
5.49E-05,-0.00080027,-0.00078997
5.50E-05,-0.0008001,-0.00078984
5.51E-05,-0.00079994,-0.00078971
5.52E-05,-0.00079977,-0.00078958
5.53E-05,-0.00079961,-0.00078945
5.54E-05,-0.00079944,-0.00078932
5.55E-05,-0.00079928,-0.00078918
5.56E-05,-0.00079911,-0.00078905
5.57E-05,-0.00079895,-0.00078892
5.58E-05,-0.00079878,-0.00078878
5.59E-05,-0.00079862,-0.00078865
5.60E-05,-0.00079846,-0.00078851
5.61E-05,-0.00079829,-0.00078838
5.62E-05,-0.00079813,-0.00078824
5.63E-05,-0.00079796,-0.0007881
5.64E-05,-0.0007978,-0.00078796
5.65E-05,-0.00079763,-0.00078783
5.66E-05,-0.00079747,-0.00078769
5.67E-05,-0.0007973,-0.00078755
5.68E-05,-0.00079714,-0.00078741
5.69E-05,-0.00079698,-0.00078727
5.70E-05,-0.00079681,-0.00078713
5.71E-05,-0.00079665,-0.00078699
5.72E-05,-0.00079648,-0.00078684
5.73E-05,-0.00079632,-0.0007867
5.74E-05,-0.00079615,-0.00078656
5.75E-05,-0.00079599,-0.00078642
5.76E-05,-0.00079583,-0.00078627
5.77E-05,-0.00079566,-0.00078613
5.78E-05,-0.0007955,-0.00078599
5.79E-05,-0.00079533,-0.00078584
5.80E-05,-0.00079517,-0.0007857
5.81E-05,-0.00079501,-0.00078555
5.82E-05,-0.00079484,-0.00078541
5.83E-05,-0.00079468,-0.00078526
5.84E-05,-0.00079451,-0.00078512
5.85E-05,-0.00079435,-0.00078497
5.86E-05,-0.00079419,-0.00078483
5.87E-05,-0.00079402,-0.00078468
5.88E-05,-0.00079386,-0.00078453
5.89E-05,-0.0007937,-0.00078438
5.90E-05,-0.00079353,-0.00078424
5.91E-05,-0.00079337,-0.00078409
5.92E-05,-0.0007932,-0.00078394
5.93E-05,-0.00079304,-0.00078379
5.94E-05,-0.00079288,-0.00078365
5.95E-05,-0.00079271,-0.0007835
5.96E-05,-0.00079255,-0.00078335
5.97E-05,-0.00079239,-0.0007832
5.98E-05,-0.00079222,-0.00078305
5.99E-05,-0.00079206,-0.0007829
6.00E-05,-0.0007919,-0.00078275
6.01E-05,-0.00079173,-0.0007826
6.02E-05,-0.00079157,-0.00078245
6.03E-05,-0.00079141,-0.0007823
6.04E-05,-0.00079124,-0.00078215
6.05E-05,-0.00079108,-0.000782
6.06E-05,-0.00079092,-0.00078185
6.07E-05,-0.00079076,-0.0007817
6.08E-05,-0.00079059,-0.00078155
6.09E-05,-0.00079043,-0.00078139
6.10E-05,-0.00079027,-0.00078124
6.11E-05,-0.0007901,-0.00078109
6.12E-05,-0.00078994,-0.00078094
6.13E-05,-0.00078978,-0.00078079
6.14E-05,-0.00078961,-0.00078063
6.15E-05,-0.00078945,-0.00078048
6.16E-05,-0.00078929,-0.00078033
6.17E-05,-0.00078913,-0.00078018
6.18E-05,-0.00078896,-0.00078002
6.19E-05,-0.0007888,-0.00077987
6.20E-05,-0.00078864,-0.00077972
6.21E-05,-0.00078848,-0.00077957
6.22E-05,-0.00078831,-0.00077941
6.23E-05,-0.00078815,-0.00077926
6.24E-05,-0.00078799,-0.00077911
6.25E-05,-0.00078783,-0.00077895
6.26E-05,-0.00078766,-0.0007788
